model,accuracy,precision,recall,f1,train_time_seconds,roc_auc,pr_auc
XGBoost,0.8525928481085432,0.7562119081106423,0.6791578947368421,0.7156166814551908,0.71,0.9170816197405884,0.8087877003258969
RandomForest,0.772277796941474,0.5535350793866196,0.8587368421052631,0.6731578513078637,1.46,0.8847064136932017,0.7403854703765771
LogisticRegression,0.727204783258595,0.5003454470084289,0.7623157894736842,0.6041545007091015,8.68,0.8120824772307231,0.6199947879195346
DecisionTree,0.7030010348395999,0.47587006960556844,0.863578947368421,0.6136125654450262,0.27,0.8050835095489435,0.5239296556776625
